ch1_voltage,ch2_voltage,ch3_voltage,label
0.51,0.79,0.64,1
0.51,0.62,0.55,1
0.47,0.12,0.49,1
0.19,0.5,0.78,1
0.9,0.67,0.74,1
0.47,0.51,0.33,1
0.86,0.12,0.71,1
1.03,0.63,0.62,1
0.73,0.7,0.41,1
0.49,0.5,0.38,1
0.95,0.44,0.6,1
0.79,0.76,0.51,1
0.15,0.55,0.6,1
0.7,0.06,0.74,1
0.74,0.11,0.67,1
0.47,0.78,0.24,1
1.03,0.61,0.59,1
0.81,0.06,0.67,1
0.47,0.77,0.39,1
0.97,0.56,0.61,1
0.44,0.62,0.48,1
1.12,0.44,0.46,1
0.82,0.63,0.66,1
0.49,0.5,0.74,1
0.99,0.55,0.56,1
0.63,0.83,0.58,1
0.89,0.75,0.5,1
0.82,0.59,0.4,1
0.89,0.11,0.69,1
1.01,0.7,0.26,1
0.31,0.45,0.52,1
0.78,0.49,0.48,1
0.44,0.57,0.56,1
0.34,0.79,0.73,1
0.79,0.7,0.22,1
1.03,0.63,0.63,1
0.37,0.76,0.33,1
0.23,0.17,0.64,1
0.64,0.38,0.58,1
0.91,0.73,0.54,1
0.27,0.58,0.73,1
0.67,0.78,0.49,1
0.67,0.06,0.72,1
0.5,0.4,0.31,1
0.87,0.11,0.49,1
0.37,0.46,0.51,1
0.93,0.42,0.69,1
0.19,0.68,0.55,1
0.87,0.69,0.53,1
0.22,0.84,0.47,1
0.4,0.83,0.45,1
0.77,0.65,0.36,1
0.48,0.76,0.46,1
0.91,0.6,0.35,1
0.38,0.64,0.58,1
1.0,0.31,0.32,1
0.49,0.44,0.5,1
0.93,0.04,0.53,1
0.17,0.24,0.56,1
1.02,0.38,0.68,1
0.27,0.28,0.52,1
0.95,0.37,0.56,1
0.24,0.31,0.75,1
0.47,0.04,0.53,1
0.12,0.44,0.81,1
0.51,0.03,0.59,1
0.16,0.47,0.76,1
0.46,0.03,0.74,1
0.56,0.69,0.53,1
0.34,0.35,0.7,1
1.06,0.8,0.28,1
0.94,0.66,0.71,1
0.1,0.74,0.47,1
0.97,0.82,0.57,1
0.5,0.57,0.74,1
0.95,0.56,0.46,1
0.41,0.09,0.38,1
0.86,0.55,0.35,1
0.77,0.43,0.5,1
0.77,0.78,0.15,1
0.65,0.69,0.83,1
0.33,0.73,0.54,1
0.39,0.75,0.55,1
1.23,0.58,0.66,1
1.02,0.13,0.23,1
0.36,0.08,0.8,1
0.81,0.8,0.69,1
0.54,0.83,0.46,1
0.76,0.52,0.61,1
0.7,0.54,0.2,1
0.19,0.06,0.74,1
0.73,0.54,0.54,1
0.13,0.66,0.57,1
1.03,0.73,0.73,1
0.48,0.56,0.6,1
0.6,0.37,0.55,1
0.34,0.58,0.31,1
1.03,0.73,0.71,1
0.94,0.71,0.74,1
0.26,0.58,0.65,1
0.85,0.34,0.38,1
0.78,0.76,0.6,1
0.53,0.82,0.23,1
0.92,0.46,0.77,1
0.42,0.4,0.47,1
0.65,0.56,0.54,1
0.3,0.64,0.39,1
0.21,0.42,0.58,1
0.79,0.6,0.26,1
0.84,0.7,0.59,1
0.42,0.42,0.44,1
0.4,0.6,0.18,1
0.22,0.69,0.69,1
0.86,0.39,0.6,1
0.81,0.26,0.7,1
0.33,0.71,0.77,1
1.1,0.59,0.67,1
0.74,0.03,0.44,1
0.29,0.71,0.65,1
1.01,0.36,0.72,1
0.7,0.62,0.64,1
0.22,0.67,0.52,1
1.03,0.19,0.7,1
0.5,0.68,0.69,1
0.47,0.16,0.42,1
0.38,0.48,0.69,1
0.49,0.87,0.56,1
0.45,0.17,0.38,1
0.98,0.71,0.48,1
0.86,0.86,0.53,1
0.15,0.29,0.65,1
1.03,0.7,0.16,1
0.79,0.79,0.52,1
0.14,0.06,0.58,1
0.61,0.82,0.5,1
0.52,0.49,0.25,1
0.16,0.71,0.77,1
0.74,0.26,0.46,1
0.48,0.78,0.51,1
0.49,0.59,0.38,1
0.51,0.64,0.72,1
0.89,0.11,0.58,1
0.41,0.73,0.73,1
0.43,0.52,0.29,1
0.41,0.68,0.76,1
0.87,0.33,0.47,1
0.37,0.67,0.62,1
0.27,0.31,0.64,1
0.67,0.81,0.53,1
0.92,0.06,0.51,1
0.86,0.72,0.7,1
0.17,0.39,0.25,1
0.61,0.82,0.52,1
0.96,0.21,0.42,1
0.65,0.64,0.72,1
0.07,0.73,0.47,1
0.26,0.58,0.54,1
0.9,0.67,0.41,1
0.46,0.14,0.58,1
0.09,0.67,0.62,1
0.41,0.35,0.58,1
1.0,0.61,0.36,1
0.43,0.28,0.33,1
0.57,0.29,0.66,1
0.33,0.81,0.49,1
0.56,0.32,0.41,1
0.85,0.81,0.7,1
0.49,0.31,0.27,1
0.48,0.2,0.29,1
0.8,0.74,0.56,1
0.56,0.69,0.67,1
0.74,0.46,0.36,1
0.77,0.6,0.5,1
0.18,0.66,0.52,1
0.11,0.3,0.5,1
1.05,0.66,0.77,1
0.41,0.66,0.37,1
0.51,0.53,0.69,1
0.21,0.86,0.62,1
0.39,0.43,0.73,1
0.93,0.28,0.14,1
0.93,0.7,0.46,1
0.64,0.71,0.56,1
0.24,0.19,0.73,1
0.56,0.76,0.64,1
0.81,0.65,0.69,1
0.83,0.07,0.47,1
0.33,0.53,0.63,1
0.67,0.75,0.38,1
0.12,0.7,0.55,1
0.23,0.49,0.34,1
0.57,0.57,0.73,1
0.92,0.79,0.74,1
1.09,0.14,0.29,1
0.38,0.32,0.67,1
0.49,0.48,0.67,1
0.83,0.68,0.54,1
0.13,0.76,0.17,1
0.71,0.38,0.44,1
1.02,0.54,0.4,1
0.63,0.81,0.53,1
0.47,0.54,0.46,1
0.84,0.05,0.76,1
0.59,0.12,0.67,1
0.07,0.38,0.72,1
0.18,0.73,0.51,1
0.8,0.73,0.37,1
0.68,0.81,0.45,1
1.12,0.76,0.74,1
1.03,0.44,0.55,1
0.87,0.4,0.56,1
0.48,0.5,0.33,1
0.66,0.57,0.31,1
0.89,0.85,0.54,1
0.45,0.65,0.46,1
0.13,0.61,0.51,1
0.17,0.59,0.29,1
0.19,0.6,0.59,1
1.37,0.36,0.46,1
0.51,0.37,0.3,1
0.66,0.1,0.52,1
0.72,0.08,0.4,1
0.82,0.1,0.4,1
0.81,0.28,0.39,1
0.91,0.33,0.54,1
0.83,0.15,0.47,1
0.92,0.33,0.62,1
0.85,0.11,0.39,1
0.83,0.13,0.42,1
0.86,0.53,0.31,1
0.45,0.55,0.36,1
0.5,0.44,0.37,1
0.82,0.48,0.38,1
0.95,0.45,0.46,1
0.86,0.47,0.27,1
0.86,0.46,0.31,1
0.94,0.1,0.27,1
0.89,0.42,0.17,1
0.96,0.35,0.25,1
0.65,0.06,0.25,1
0.71,0.16,0.14,1
0.57,0.19,0.3,1
0.57,0.22,0.28,1
0.69,0.67,0.58,1
0.69,0.67,0.47,1
0.71,0.64,0.59,1
0.7,0.86,0.51,1
0.41,0.85,0.52,1
0.35,0.83,0.7,1
0.56,0.85,0.41,1
0.53,0.86,0.73,1
1.04,0.64,0.7,1
0.4,0.59,0.77,1
0.97,0.44,0.8,1
0.96,0.45,0.78,1
0.85,0.61,0.53,1
0.97,0.68,0.54,1
0.85,0.76,0.33,1
0.86,0.64,0.35,1
0.69,0.68,0.6,1
0.42,0.42,0.33,1
0.49,0.71,0.58,1
1.14,0.59,0.57,1
0.12,0.09,0.44,1
0.47,0.68,0.47,1
0.89,0.74,0.29,1
0.84,0.66,0.58,1
0.65,0.13,0.33,1
1.04,0.28,0.56,1
0.77,0.11,0.58,1
0.82,0.5,0.64,1
0.74,0.77,0.54,1
1.02,0.07,0.6,1
0.5,0.63,0.58,1
0.3,0.72,0.15,1
1.09,0.18,0.67,1
0.52,0.58,0.71,1
0.45,0.68,0.14,1
0.3,0.5,0.65,1
0.59,0.38,0.46,1
0.21,0.45,0.52,1
0.58,0.87,0.58,1
0.67,0.58,0.48,1
0.19,0.13,0.68,1
0.42,0.81,0.79,1
0.59,0.73,0.7,1
0.88,0.33,0.76,1
1.01,0.7,0.67,1
1.14,0.77,0.42,1
0.52,0.06,0.55,1
0.75,0.36,0.28,1
1.13,0.34,0.35,1
0.53,0.83,0.39,1
0.78,0.76,0.72,1
0.13,0.04,0.7,1
0.74,0.39,0.16,1
0.5,0.29,0.64,1
0.78,0.84,0.32,1
0.89,0.69,0.36,1
0.27,0.68,0.53,1
0.35,0.58,0.5,1
0.46,0.32,0.76,1
0.88,0.27,0.48,1
0.87,0.2,0.49,1
1.21,0.54,0.51,1
0.36,0.67,0.73,1
0.6,0.87,0.77,1
0.5,0.79,0.51,1
0.93,0.37,0.7,1
0.33,0.6,0.78,1
0.67,0.81,0.5,1
0.47,0.72,0.62,1
0.99,0.71,0.49,1
0.22,0.77,0.53,1
0.44,0.38,0.48,1
0.13,0.66,0.7,1
0.78,0.1,0.79,1
0.7,0.13,0.56,1
0.44,0.13,0.77,1
0.92,0.52,0.28,1
0.12,0.66,0.56,1
0.89,0.84,0.55,1
1.03,0.75,0.77,1
0.89,0.64,0.28,1
1.09,0.79,0.76,1
0.85,0.12,0.32,1
0.2,0.56,0.75,1
0.51,0.5,0.18,1
0.5,0.69,0.68,1
0.67,0.15,0.12,1
0.65,0.58,0.67,1
0.77,0.16,0.17,1
0.84,0.56,0.54,1
0.49,0.13,0.69,1
0.93,0.52,0.73,1
0.42,0.15,0.59,1
0.89,0.59,0.71,1
0.43,0.18,0.61,1
0.96,0.6,0.71,1
0.96,0.17,0.58,1
0.64,0.73,0.63,1
0.22,0.53,0.71,1
0.86,0.81,0.55,1
0.38,0.64,0.43,1
0.92,0.68,0.36,1
0.22,0.79,0.75,1
1.01,0.57,0.73,1
0.45,0.59,0.57,1
0.9,0.12,0.65,1
0.83,0.4,0.22,1
0.86,0.03,0.43,1
0.49,0.78,0.27,1
0.88,0.83,0.76,1
0.72,0.69,0.53,1
0.65,0.58,0.59,1
0.67,0.32,0.66,1
0.2,0.47,0.41,1
0.57,0.37,0.69,1
0.23,0.64,0.56,1
0.82,0.58,0.59,1
0.86,0.72,0.35,1
0.46,0.8,0.37,1
0.28,0.59,0.56,1
1.2,0.69,0.15,1
0.43,0.6,0.78,1
0.18,0.7,0.68,1
0.93,0.56,0.18,1
